id,step,timestamp,entry,delta
111,step-inject-buildpacks,2024-01-18T09:58:54.349162,wget https://gitlab.wikimedia.org/repos/cloud/toolforge/buildpacks/dotnetcore-buildpack/-/archive/move_to_api_0.10/dotnetcore-buildpack-move_to_api_0.10.zip ,16.3930
112,step-inject-buildpacks,2024-01-18T09:58:54.350976,(208.80.153.8:443),16.3948
113,step-inject-buildpacks,2024-01-18T09:58:55.120394,to 'dotnetcore-buildpack-move_to_api_0.10.zip' ,17.1642
114,step-inject-buildpacks,2024-01-18T09:58:55.977215,|***************                 |  884k  0:00:01 ETA,18.0211
115,step-inject-buildpacks,2024-01-18T09:58:56.123035,1810k  0:00:00 ETA,18.1669
116,step-inject-buildpacks,2024-01-18T09:58:56.123400,saved ,18.1673
117,step-inject-buildpacks,2024-01-18T09:58:56.125300,dotnetcore-buildpack-move_to_api_0.10.zip,18.1692
118,step-inject-buildpacks,2024-01-18T09:58:56.129043, dotnetcore-buildpack-move_to_api_0.10.zip ,18.1729
119,step-inject-buildpacks,2024-01-18T09:58:56.187825,creating: dotnetcore-buildpack-move_to_api_0.10/,18.2317
120,step-inject-buildpacks,2024-01-18T09:58:56.187842,dotnetcore-buildpack-move_to_api_0.10/.gitattributes,18.2317
121,step-inject-buildpacks,2024-01-18T09:58:56.187845,creating: dotnetcore-buildpack-move_to_api_0.10/.github/,18.2317
122,step-inject-buildpacks,2024-01-18T09:58:56.187848,creating: dotnetcore-buildpack-move_to_api_0.10/.github/workflows/,18.2317
123,step-inject-buildpacks,2024-01-18T09:58:56.187850,dotnetcore-buildpack-move_to_api_0.10/.github/workflows/main.yml,18.2317
124,step-inject-buildpacks,2024-01-18T09:58:56.187852,creating: dotnetcore-buildpack-move_to_api_0.10/bin/,18.2317
125,step-inject-buildpacks,2024-01-18T09:58:56.187854,dotnetcore-buildpack-move_to_api_0.10/bin/build,18.2317
126,step-inject-buildpacks,2024-01-18T09:58:56.187862,dotnetcore-buildpack-move_to_api_0.10/bin/detect,18.2317
127,step-inject-buildpacks,2024-01-18T09:58:56.187865,dotnetcore-buildpack-move_to_api_0.10/bin/exports,18.2317
128,step-inject-buildpacks,2024-01-18T09:58:56.187867,dotnetcore-buildpack-move_to_api_0.10/bin/release,18.2317
129,step-inject-buildpacks,2024-01-18T09:58:56.187873,dotnetcore-buildpack-move_to_api_0.10/buildpack.toml,18.2317
130,step-inject-buildpacks,2024-01-18T09:58:56.187879,dotnetcore-buildpack-move_to_api_0.10/package.toml,18.2317
131,step-inject-buildpacks,2024-01-18T09:58:56.187882,creating: dotnetcore-buildpack-move_to_api_0.10/target/,18.2317
132,step-inject-buildpacks,2024-01-18T09:58:56.187884,dotnetcore-buildpack-move_to_api_0.10/target/.gitattributes,18.2317
133,step-inject-buildpacks,2024-01-18T09:58:56.187887,creating: dotnetcore-buildpack-move_to_api_0.10/target/.github/,18.2317
134,step-inject-buildpacks,2024-01-18T09:58:56.189942,creating: dotnetcore-buildpack-move_to_api_0.10/target/.github/workflows/,18.2338
135,step-inject-buildpacks,2024-01-18T09:58:56.189954,dotnetcore-buildpack-move_to_api_0.10/target/.github/workflows/main.yml,18.2338
136,step-inject-buildpacks,2024-01-18T09:58:56.189957,dotnetcore-buildpack-move_to_api_0.10/target/.gitignore,18.2338
137,step-inject-buildpacks,2024-01-18T09:58:56.189960,dotnetcore-buildpack-move_to_api_0.10/target/CHANGELOG.md,18.2338
138,step-inject-buildpacks,2024-01-18T09:58:56.189962,dotnetcore-buildpack-move_to_api_0.10/target/CODE_OF_CONDUCT.md,18.2338
139,step-inject-buildpacks,2024-01-18T09:58:56.189965,dotnetcore-buildpack-move_to_api_0.10/target/LICENSE,18.2338
140,step-inject-buildpacks,2024-01-18T09:58:56.189967,dotnetcore-buildpack-move_to_api_0.10/target/Makefile,18.2338
141,step-inject-buildpacks,2024-01-18T09:58:56.189970,dotnetcore-buildpack-move_to_api_0.10/target/README.md,18.2338
142,step-inject-buildpacks,2024-01-18T09:58:56.189973,creating: dotnetcore-buildpack-move_to_api_0.10/target/bin/,18.2338
143,step-inject-buildpacks,2024-01-18T09:58:56.189975,dotnetcore-buildpack-move_to_api_0.10/target/bin/compile,18.2338
144,step-inject-buildpacks,2024-01-18T09:58:56.189978,dotnetcore-buildpack-move_to_api_0.10/target/bin/detect,18.2338
145,step-inject-buildpacks,2024-01-18T09:58:56.189980,dotnetcore-buildpack-move_to_api_0.10/target/bin/release,18.2338
146,step-inject-buildpacks,2024-01-18T09:58:56.189983,creating: dotnetcore-buildpack-move_to_api_0.10/target/lib/,18.2338
